id,AtomicOrbitals|HOMO_element,ElementFraction|Al,ElementFraction|K,ElementFraction|F,ElementProperty|MagpieData avg_dev Number,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev Electronegativity,ElementFraction|B,ElementProperty|MagpieData mean Number,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData mean MeltingT,BandCenter|band center,Stoichiometry|0-norm,Miedema|Miedema_deltaH_ss_min,ElementProperty|MagpieData mean CovalentRadius,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData minimum NpValence,YangSolidSolution|Yang delta,ElementProperty|MagpieData avg_dev NpUnfilled,YangSolidSolution|Yang omega,ValenceOrbital|avg d valence electrons,ElementFraction|Te,ElementProperty|MagpieData range Column,AtomicOrbitals|HOMO_character,AtomicOrbitals|gap_AO,TMetalFraction|transition metal fraction,ElementProperty|MagpieData mean SpaceGroupNumber,ElementProperty|MagpieData mean GSbandgap,IonProperty|max ionic char,ElementProperty|MagpieData mean Column,ElementFraction|Se,ElementProperty|MagpieData minimum NdValence,ElementProperty|MagpieData mean Row,ElementProperty|MagpieData mean NValence,ElementFraction|S,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean GSvolume_pa,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData minimum MeltingT,ElementProperty|MagpieData mode NpValence,ElementProperty|MagpieData minimum Row,Miedema|Miedema_deltaH_inter,ElementProperty|MagpieData range GSbandgap,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData maximum Column,ElementProperty|MagpieData range GSvolume_pa,ElementProperty|MagpieData mode GSbandgap,ElementProperty|MagpieData mode NdValence,ElementProperty|MagpieData range SpaceGroupNumber,ElementProperty|MagpieData mode SpaceGroupNumber,AtomicOrbitals|LUMO_element,IonProperty|avg ionic char,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData minimum GSvolume_pa,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData mode NValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData minimum NValence,ElementProperty|MagpieData avg_dev Column,ElementProperty|MagpieData minimum Number,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData mode CovalentRadius,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum CovalentRadius,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData minimum SpaceGroupNumber,ValenceOrbital|avg p valence electrons,ElementProperty|MagpieData mode MeltingT,ElementProperty|MagpieData avg_dev GSbandgap,ElementProperty|MagpieData mode AtomicWeight,ElementProperty|MagpieData range MeltingT,ElementProperty|MagpieData mode GSvolume_pa,ElementProperty|MagpieData avg_dev NUnfilled,Stoichiometry|3-norm,ElementProperty|MagpieData mode Row,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData mode Number,ElementProperty|MagpieData maximum GSbandgap,ElementProperty|MagpieData maximum MeltingT,Miedema|Miedema_deltaH_amor,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData maximum Number,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum GSvolume_pa,ElementProperty|MagpieData minimum Column,ElementProperty|MagpieData avg_dev SpaceGroupNumber,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData mode Column,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData minimum AtomicWeight,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range Electronegativity,ElementFraction|O,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData minimum Electronegativity
id0,16,0.0,0.0,0.0,25.28,10.719999999999999,0.20159999999999995,0.0,47.4,74.6,937.2620000000001,-2.4193172991245886,3,0.0,125.4,0.10958904109589042,0.0,0.1553662808432154,0.9600000000000002,8220355.980053166,6.0,0.0,5.0,2.0,0.0,0.2,163.0,0.8808,0.1002380044323461,13.0,0.0,0.0,4.6,14.6,0.4,0.4109589041095891,20.260749999999998,1.4,388.36,0.0,3.0,0.0,2.202,2.434,16.0,9.456875,0.0,0.0,155.0,70.0,16,0.015189369896823889,40.0,16.33,2.58,6.0,10.0,6.0,2.4,16.0,88.0,105.0,25.0,0.0,105.0,65.0,66.0,70.0,1.6,388.36,1.0569600000000001,32.065,948.9699999999999,16.7,0.48,0.5142563181316472,3.0,164.901569,0.8,16.0,2.202,1337.33,0.0,2.54,79.0,23.0,25.786875,11.0,74.4,1.9200000000000004,4.0,11.0,1.4,32.065,10.0,0.6500000000000001,0.0,1.6,145.0,1.93
id1,74,0.0,0.0,0.0,15.619047619047619,18.666666666666668,0.293968253968254,0.0,46.714285714285715,81.0,1291.7204761904763,-2.718558780322722,3,0.0,133.1904761904762,0.1897018970189702,0.0,0.0,0.4444444444444445,8303886.849480666,8.285714285714286,0.0,11.0,3.0,0.0,0.3333333333333333,118.80952380952381,0.9713333333333333,0.23296665194444466,13.571428571428571,0.0,4.0,4.619047619047619,17.571428571428573,0.0,0.4715447154471545,25.01666666666667,2.4285714285714284,265.8,5.0,4.0,0.0,1.457,2.7395238095238095,17.0,13.43,1.457,10.0,165.0,64.0,74,0.024404423929495704,42.0,16.05,2.96,17.0,6.0,11.0,4.571428571428571,35.0,95.0,120.0,20.0,2.4489795918367347,120.0,51.0,95.0,64.0,3.3333333333333335,265.8,0.6475555555555556,79.904,3429.2,29.48,2.0408163265306123,0.6837964488676359,4.0,103.936,0.6666666666666666,35.0,1.457,3695.0,0.0,2.96,74.0,44.0,29.48,6.0,73.07936507936508,2.2222222222222223,5.0,17.0,1.9523809523809523,79.904,10.0,1.03,0.0,3.3333333333333335,162.0,1.93
id2,16,0.0,0.0,0.0,23.552913198573126,4.984542211652795,0.20280618311533893,0.0,36.275862068965516,83.48275862068965,611.4996551724139,-2.383891030936206,4,0.0,119.72413793103448,0.23243243243243245,0.0,0.2393723680967945,1.0463733650416172,5739199.454474069,4.482758620689655,0.0,5.0,2.0,0.0,0.06896551724137931,139.48275862068965,1.2677241379310344,0.0,14.89655172413793,0.0,0.0,4.0,12.758620689655173,0.5517241379310345,0.3513513513513513,25.311724137931034,2.689655172413793,388.36,4.0,3.0,0.0,2.202,2.3962068965517243,16.0,11.780000000000001,2.202,0.0,155.0,70.0,16,0.0,41.0,16.33,2.58,6.0,10.0,6.0,1.2175980975029725,16.0,88.0,105.0,28.0,0.0,105.0,65.0,88.0,70.0,2.9655172413793105,388.36,1.030925089179548,32.065,846.57,25.786875,0.9940546967895363,0.5697612963587368,3.0,175.135,2.6206896551724137,16.0,2.202,1234.93,0.0,2.58,82.0,23.0,28.11,11.0,76.6706302021403,1.1414982164090366,4.0,16.0,1.9310344827586208,32.065,10.0,0.6500000000000001,0.0,2.9655172413793105,146.0,1.93
id3,34,0.0,0.0,0.0,17.388822829964326,5.479191438763378,0.18796670630202136,0.0,46.206896551724135,84.03448275862068,669.7837931034484,-2.368557339287307,4,0.0,128.0,0.16226415094339625,0.0,0.18264893695563567,1.0463733650416172,6286222.318328292,10.0,0.0,5.0,2.0,0.0,0.06896551724137931,108.58620689655173,0.49365517241379314,0.0,14.89655172413793,0.5517241379310345,10.0,4.551724137931035,18.275862068965516,0.0,0.5471698113207547,25.385172413793107,2.689655172413793,494.0,4.0,4.0,0.0,0.799,2.3796551724137927,16.0,11.780000000000001,0.799,10.0,211.0,14.0,34,0.0,26.0,16.33,2.55,16.0,0.0,11.0,1.2175980975029725,32.0,89.0,120.0,28.0,0.0,120.0,65.0,89.0,14.0,2.9655172413793105,494.0,0.3369322235434008,78.96,740.9300000000001,25.92,0.9940546967895363,0.5697612963587368,4.0,134.56,2.6206896551724137,34.0,0.799,1234.93,0.0,2.55,82.0,24.0,28.11,11.0,104.37098692033292,1.1414982164090366,4.0,16.0,1.9310344827586208,72.64,10.0,0.6199999999999999,0.0,2.9655172413793105,146.0,1.93
id4,47,0.0,0.0,0.0,14.25,10.375,0.37249999999999994,0.25,33.5,74.25,1270.9150000000002,-2.1777555245004634,3,0.0,123.5,0.14285714285714285,0.0,0.0,1.75,10986092.358946329,7.5,0.0,6.0,1.0,0.0,0.5,170.0,0.74525,0.23296665194444466,13.0,0.0,0.0,4.0,10.5,0.0,0.7142857142857143,17.328125,2.0,265.8,0.0,2.0,0.0,1.524,2.215,17.0,22.3075,0.0,10.0,161.0,225.0,47,0.041417863394528985,61.0,7.1725,2.96,11.0,10.0,3.0,2.0,5.0,95.0,145.0,17.0,0.0,84.0,65.0,65.0,64.0,1.5,1234.93,0.74525,107.8682,2082.2,16.33,1.5,0.538608672507971,5.0,97.0572,1.5,47.0,1.524,2348.0,0.0,1.93,47.0,30.0,29.48,11.0,55.0,1.75,5.0,11.0,1.5,10.811,10.0,1.03,0.0,1.5,145.0,1.93
id5,47,0.0,0.0,0.0,25.5,9.666666666666666,0.7399999999999999,0.0,33.5,79.5,529.7766666666668,-2.596312031277877,3,0.0,106.0,0.21739130434782608,0.0,0.4057624924503254,1.0,4454794.011395755,5.0,0.0,5.0,3.0,0.0,0.3333333333333333,83.0,0.0,0.4344886992597051,14.166666666666666,0.0,0.0,3.6666666666666665,11.5,0.0,0.43478260869565216,15.487499999999999,1.8333333333333333,54.8,4.0,2.0,0.0,0.0,2.6999999999999997,16.0,23.845000000000002,0.0,0.0,213.0,12.0,47,0.1055230881357132,82.0,9.105,3.44,6.0,10.0,6.0,2.111111111111111,8.0,87.0,66.0,29.0,0.0,66.0,65.0,87.0,12.0,2.5,54.8,0.0,15.9994,1180.13,9.105,0.5555555555555555,0.5503212081491045,2.0,192.981,1.5,8.0,0.0,1234.93,0.0,3.44,83.0,22.0,32.95,11.0,94.66666666666667,1.6666666666666667,4.0,16.0,1.6666666666666667,15.9994,10.0,1.51,0.5,2.5,148.0,1.93
id6,16,0.0,0.0,0.0,13.0,9.222222222222223,0.31166666666666676,0.0,29.0,78.83333333333333,807.7233333333334,-2.246613161876889,3,0.0,120.83333333333333,0.2592592592592593,0.0,0.1556613227484955,1.111111111111111,6791996.127043378,5.0,0.0,5.0,2.0,0.0,0.3333333333333333,147.5,1.1648333333333334,0.1002380044323461,14.0,0.0,0.0,3.8333333333333335,9.0,0.5,0.5555555555555556,22.170937499999997,2.0,388.36,4.0,3.0,0.0,2.202,2.268333333333333,16.0,9.456875,2.202,0.0,155.0,70.0,16,0.023296300120637038,40.0,16.33,2.58,6.0,10.0,6.0,2.0,16.0,88.0,105.0,14.0,0.0,105.0,65.0,88.0,70.0,2.3333333333333335,388.36,1.0371666666666666,32.065,846.57,25.786875,0.6666666666666666,0.5503212081491045,3.0,75.8032,1.6666666666666667,16.0,2.202,1234.93,0.0,2.58,47.0,23.0,25.786875,11.0,77.5,1.6666666666666667,4.0,16.0,1.6666666666666667,32.065,10.0,0.6500000000000001,0.0,2.3333333333333335,145.0,1.93
id8,53,0.0,0.0,0.0,7.102040816326533,14.204081632653061,0.34612244897959193,0.0,55.142857142857146,83.57142857142857,607.3685714285714,-2.3301377418630533,3,0.0,139.71428571428572,0.17241379310344826,0.0,0.0,0.489795918367347,4825961.71299564,10.0,0.0,6.0,2.0,0.06276699999999996,0.2857142857142857,124.57142857142857,0.6068571428571429,0.1247318653784052,14.571428571428571,0.0,10.0,5.142857142857143,16.571428571428573,0.0,0.603448275862069,32.85108374384286,0.8571428571428571,234.32,5.0,5.0,0.0,1.062,2.357142857142857,17.0,26.685000000000002,1.062,10.0,161.0,64.0,80,0.02883720495754412,13.0,16.33,2.66,17.0,0.0,11.0,2.775510204081633,47.0,96.0,139.0,26.0,0.0,132.0,65.0,96.0,64.0,2.857142857142857,386.85,0.5201632653061224,126.90447,1000.6100000000001,43.015,0.2448979591836735,0.5970484566258902,5.0,92.7218,0.5714285714285714,53.0,1.062,1234.93,0.0,2.66,80.0,31.0,43.015,11.0,69.22448979591836,2.4489795918367347,5.0,17.0,1.7142857142857142,107.8682,10.0,0.7300000000000002,0.0,2.857142857142857,145.0,1.93
id10,47,0.0,0.0,0.0,18.416666666666668,5.916666666666664,0.6445833333333334,0.0,21.833333333333332,82.16666666666667,340.7225,-2.805039549158747,4,0.0,92.66666666666667,0.35294117647058826,0.0,0.4150091879127228,0.6666666666666666,3169139.0526200016,2.5,0.0,5.0,3.0,0.0,0.16666666666666666,63.583333333333336,0.2708333333333333,0.4344886992597051,14.833333333333334,0.0,0.0,3.0,8.5,0.0,0.29411764705882354,14.137123015866665,2.1666666666666665,54.8,4.0,2.0,0.0,1.625,2.8874999999999997,16.0,19.005,0.0,0.0,223.0,12.0,47,0.08764526709074928,80.0,9.105,3.44,6.0,10.0,5.0,1.4166666666666663,8.0,87.0,66.0,28.0,0.0,66.0,65.0,87.0,2.0,3.0,54.8,0.4513888888888889,15.9994,1180.13,9.105,0.5833333333333334,0.5928155507483438,2.0,191.20059999999998,2.0,8.0,1.625,1234.93,0.0,3.44,82.0,22.0,28.11,11.0,80.70833333333333,1.1666666666666667,4.0,16.0,1.8333333333333333,15.9994,10.0,1.51,0.5833333333333334,3.0,146.0,1.93
id11,46,0.0,0.0,0.0,18.560000000000002,11.040000000000001,0.6816,0.0,31.2,73.2,881.5020000000001,-2.4964957830035575,3,0.0,112.2,0.18181818181818182,0.0,0.3483162899858449,0.9600000000000002,7731306.974067897,6.0,0.0,6.0,3.0,0.0,0.6,139.8,0.0,0.4344886992597051,12.8,0.0,0.0,3.8,8.8,0.0,0.6818181818181818,13.056000000000001,1.2,54.8,0.0,2.0,0.0,0.0,2.588,16.0,7.224999999999998,0.0,0.0,213.0,12.0,46,0.09649426387539031,79.0,9.105,3.44,6.0,10.0,6.0,2.56,8.0,87.0,66.0,11.0,0.0,66.0,62.0,65.0,12.0,1.6,54.8,0.0,15.9994,1773.25,9.105,0.64,0.5142563181316472,2.0,91.86880000000001,0.8,8.0,0.0,1828.05,0.0,1.93,47.0,25.0,16.33,10.0,102.24,1.9200000000000004,4.0,11.0,1.2,15.9994,10.0,1.51,0.4,1.6,145.0,1.93
